Name,Trash/hr,Silver/hour
Darkseeker's Retreat,"13,333","1,340,792,887"
[Dehkia II] Olun's Valley,"6,053","1,295,667,050"
Tungrad Ruins,"16,931","1,157,418,876"
Troll Habitat,"7,317","1,053,657,768"
Dokkebi Forest,"8,886","1,033,213,480"
[Dehkia] Thornwood Forest,"14,813","1,023,053,235"
[Dehkia] Cyclops Land,"8,841","1,009,627,598"
[Dehkia] Tunkuta,"16,243","964,202,802"
[Dehkia] Ash Forest,"10,276","960,090,646"
Yzrahid Highlands,"17,070","909,029,731"
Honglim Base,"21,844","838,341,463"
Hexe Sanctuary,"18,339","837,976,671"
[Dehkia] Crescent Shrine,"14,598","836,614,039"
[Dehkia] Olun's Valley,"3,396","832,317,042"
[Dehkia] Cadry Ruins,"15,303","827,448,052"
Crypt of Resting Thoughts,"13,194","819,841,843"
[Dehkia II] Ash Forest,"9,568","808,519,298"
Olun's Valley,"5,261","768,944,595"
[Dehkia] Hystria Ruins,"15,173","765,354,653"
[Dehkia] Aakman Temple,"15,630","755,672,751"
[Dehkia] Roud Sulfur Mine,"17,265","750,547,405"
Gyfin Rhasia Underground,"21,092","744,111,262"
[Dehkia] Pila Ku Jail,"17,216","731,118,740"
City of the Dead,"13,073","661,910,082"
Primal Giant Post,"19,225","658,605,344"
Orc Camp,"17,173","655,779,140"
Jade Starlight Forest,"12,681","611,737,270"
Rhutum Outstation,"16,490","609,523,966"
Ash Forest,"8,552","585,520,888"
Murrowak's Labyrinth,"20,690","562,469,446"
Swamp Fogan Habitat,"13,190","541,069,362"
Sycraia Abyssal Ruins (Lower),"8,767","523,596,043"
Blood Wolf Settlement,"8,836","522,136,389"
Abandoned Monastery,"9,104","507,037,446"
Swamp Naga Habitat,"11,459","490,524,584"
Altar Imp Habitat,"10,746","485,119,559"
Sherekhan (Night),"3,944","479,467,563"
Biraghi Den,"12,447","475,731,268"
Bloody Monastery,"11,830","464,678,358"
Saunil Camp,"14,149","453,484,650"
Gyfin Rhasia Temple,"17,761","446,814,588"
Fadus Habitat,"15,608","438,230,709"
Castle Ruins,"10,794","430,537,137"
Star's End Pillars,"8,266","430,249,451"
Kratuga Ancient Ruins,"24,469","428,928,902"
Tooth Fairy Forest,"10,980","408,472,043"
Star's End,"7,582","406,687,374"
Margoria Pirate Fleet,204,"400,729,162"
Manshaum Forest,"9,884","396,604,590"
Protty Cave,"13,032","392,440,215"
Sherekhan (Day),"13,485","384,492,703"
Tshira Ruins,"10,496","372,930,598"
Polly's Forest,"16,965","361,354,001"
Aakman Temple,"15,638","360,847,202"
Mirumok Ruins,"10,455","358,227,674"
Padix Island,"15,007","353,358,467"
Titium Valley,"5,594","350,873,026"
Centaurus Herd,"10,335","345,528,077"
Gahaz Bandit's Lair,"9,286","343,983,193"
Hystria Ruins,"8,481","342,955,603"
Tunkuta,"8,065","335,173,621"
Cadry Ruins,"4,649","291,895,191"
Crescent Shrine,"17,766","289,222,691"
Thornwood Forest,"11,623","287,611,799"
Desert Naga Temple,"5,396","282,245,892"
Bashim Base,"4,036","277,237,665"
Traitor's Graveyard,"16,682","271,341,430"
Winter Tree Fossil (280ap),"22,064","263,869,047"
Pila Ku Jail,"7,474","255,491,019"
Sycraia Underwater Ruins (Upper),"14,131","237,660,524"
Winter Tree Fossil (250ap),"24,878","234,597,239"
Roud Sulfur Mine,"3,932","177,579,700"
Navarn Steppe,"5,865","115,882,295"
Basilisk Den,"3,878","105,802,999"
Waragon Nest,"2,135","87,715,862"
Shultz Guard,—,0
